Titulo,Secao,Url
Palladium-based electrocatalysts for energy conversion: electrochemical and structural properties.  Visualizar,A - Materials for energy conversion and storage  / Invited Lecture,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/361_1619296028.pdf
High entropy alloys for hydrogen storage  Visualizar,A - Materials for energy conversion and storage  / Invited Lecture,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/141_1619014944.pdf
Defect Engineering of Transition Metal Oxides for Energy and Memory Applications  Visualizar,A - Materials for energy conversion and storage  / Invited Lecture,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/911_1620734953.pdf
Operando characterization of silicon heterojunction solar cells on the nanoscale with conduction AFM and electron spin resonance  Visualizar,A - Materials for energy conversion and storage  / Invited Lecture,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/705_1620135358.pdf
Computational design of materials for energy transition and carbon neutralization  Visualizar,A - Materials for energy conversion and storage  / Invited Lecture,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/353_1619294545.pdf
Insights on defects and doping of hybrid organic-inorganic halide perovskites from first-principles calculations  Visualizar,A - Materials for energy conversion and storage  / Invited Lecture,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1070_1620768003.pdf
Advanced Materials For Energy Challenges: Hydrogen Production and Gas separation  Visualizar,A - Materials for energy conversion and storage  / Invited Lecture,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/78_1618762919.pdf
"Recent Advances in Perovskite Solar Cells: new materials, processing and architectures  Visualizar",A - Materials for energy conversion and storage  / Invited Lecture,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/192_1619124899.pdf
Improving the efficiency in non-planar thermoelectric generators by leg geometry optimization  Visualizar,A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/1195_1620945741.pdf
"Persistent luminescence of Sr2MgSi2O7:Eu2+,Dy3+ embedded in glassy materials  Visualizar",A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/408_1619317405.pdf
"Synthesis, flash sintering and electrical characterization of lanthanum molybdenum oxide  Visualizar",A - Materials for energy conversion and storage  / Oral,https://www.eventweb.com.br/xixsbpmat-virtual/on-site/pdf/viewer.html?file=../../../specific-files/manuscripts/xixsbpmat-virtual/749_1620413231.pdf
