source,target,Weight,group
Evelyn Christyan da Silva Santos,Flávio Garcia,5,1
Adrianne Marlise Mendes Brito,Iseli Lourenço Nantes-Cardoso,5,1
Elena Tude,Alexandre Malta Rossi,5,1
Tiago de Sousa Araujo Cassiano,Leonardo Evaristo de Sousa,5,1
Tiago de Sousa Araujo Cassiano,Pedro Henrique de Oliveira Neto,6,1
Fernando Teixeira Bueno,Leonardo Evaristo de Sousa,6,1
Fernando Teixeira Bueno,Pedro Henrique de Oliveira Neto,6,1
Larissa dos Santos Born,Leonardo Evaristo de Sousa,5,1
Larissa dos Santos Born,Pedro Henrique de Oliveira Neto,6,1
Leonardo Evaristo de Sousa,Pedro Henrique de Oliveira Neto,9,1
Eduardo Azzolini Volnistem,Ivair Aparecido Santos,5,1
Gustavo Sanguino Dias,Ivair Aparecido Santos,5,1
Aldebarã Fausto Ferreira,Walter Mendes de Azevedo,5,1
Luan Pereira Camargo,Luiz Henrique Dall&#039;Antonia,6,1
Elias Paiva Ferreira Neto,Ubirajara Pereira Rodrigues Filho,6,1
Marcelo de Assis,Elson Longo,8,1
Marcelo de Assis,Juan Andrés,5,1
Angélica Gonçalves Oliveira,Daniela Martins Fernandes de Oliveira,6,1
Angélica Gonçalves Oliveira,Ana Adelina Winkler Hechenleitner,6,1
Angélica Gonçalves Oliveira,Edgardo Alfonso Gómez Pineda,6,1
Ana Adelina Winkler Hechenleitner,Edgardo Alfonso Gómez Pineda,6,1
Alexandra Ancelmo Piscitelli Mansur,Herman Sander Mansur,5,1
Jessica de Lara Andrade,Ana Adelina Winkler Hechenleitner,5,1
Jessica de Lara Andrade,Edgardo Alfonso Gómez Pineda,5,1
Jessica de Lara Andrade,Daniela Martins Fernandes de Oliveira,5,1
Ana Adelina Winkler Hechenleitner,Daniela Martins Fernandes de Oliveira,5,1
Edgardo Alfonso Gómez Pineda,Daniela Martins Fernandes de Oliveira,5,1
Ana Luísa Terasawa Senra,Osvaldo Mitsuyuki Cintho,5,1
Marcel Tadashi Izumi,Osvaldo Mitsuyuki Cintho,5,1
João Gomes de Oliveira Neto,Adenilson Oliveira dos Santos,8,1
Guilherme da Silva Lopes Fabris,Julio Ricardo Sambrano,5,1
Anderson Reis Albuquerque,Julio Ricardo Sambrano,5,1
