id,label,group,nodesize
Elson Longo,Elson Longo,1,17
Osvaldo Novais de Oliveira Junior,Osvaldo Novais de Oliveira Junior,1,15
César Ricardo Teixeira Tarley,César Ricardo Teixeira Tarley,3,14
Carlos Roberto Grandini,Carlos Roberto Grandini,19,13
Ana Flávia Nogueira,Ana Flávia Nogueira,1,11
Iseli Lourenço Nantes-Cardoso,Iseli Lourenço Nantes-Cardoso,2,11
Alexandre Malta Rossi,Alexandre Malta Rossi,2,10
Pedro Henrique de Oliveira Neto,Pedro Henrique de Oliveira Neto,7,10
Valtencir Zucolotto,Valtencir Zucolotto,18,10
Evelyn Christyan da Silva Santos,Evelyn Christyan da Silva Santos,3,10
Julio Ricardo Sambrano,Julio Ricardo Sambrano,18,9
Leonardo Evaristo de Sousa,Leonardo Evaristo de Sousa,7,9
Paulo Noronha Lisboa Filho,Paulo Noronha Lisboa Filho,18,9
Cleber Renato Mendonca,Cleber Renato Mendonca,4,9
Adenilson Oliveira dos Santos,Adenilson Oliveira dos Santos,17,8
Elias Paiva Ferreira Neto,Elias Paiva Ferreira Neto,8,8
Fernando José Gomes Landgraf,Fernando José Gomes Landgraf,16,8
Marcelo de Assis,Marcelo de Assis,10,8
Souad Ammar,Souad Ammar,1,8
Augusto Batagin-Neto,Augusto Batagin-Neto,1,8
Daniel Zanetti de Florio,Daniel Zanetti de Florio,1,8
João Gomes de Oliveira Neto,João Gomes de Oliveira Neto,17,8
Ubirajara Pereira Rodrigues Filho,Ubirajara Pereira Rodrigues Filho,10,8
Andrea Simone Stucchi de Camargo,Andrea Simone Stucchi de Camargo,3,8
Edésia Martins Barros Sousa,Edésia Martins Barros Sousa,7,8
Rubem Luis Sommer,Rubem Luis Sommer,3,7
Gregório Couto Faria,Gregório Couto Faria,1,7
Guilherme Zepon,Guilherme Zepon,1,7
Bacus de Oliveira Nahime,Bacus de Oliveira Nahime,8,7
Helena Maria Petrilli,Helena Maria Petrilli,3,7
Henrique Rodrigues Oliveira,Henrique Rodrigues Oliveira,16,7
Osvaldo Mitsuyuki Cintho,Osvaldo Mitsuyuki Cintho,16,7
José Antonio Souza,José Antonio Souza,1,7
Angélica Gonçalves Oliveira,Angélica Gonçalves Oliveira,12,6
Fabio Luis Zabotto,Fabio Luis Zabotto,8,6
Deuber L. S. Agostini,Deuber L. S. Agostini,7,6
Elvira Maria Correia Fortunato,Elvira Maria Correia Fortunato,13,6
Antonio Riul Jr.,Antonio Riul Jr.,7,6
Marcos Farina,Marcos Farina,5,6
Vagner Romito de Mendonça,Vagner Romito de Mendonça,13,6
José Antonio Eiras,José Antonio Eiras,1,6
Juliano E. Oliveira,Juliano E. Oliveira,15,6
Ana Adelina Winkler Hechenleitner,Ana Adelina Winkler Hechenleitner,12,6
Daniela Martins Fernandes de Oliveira,Daniela Martins Fernandes de Oliveira,12,6
Valmor Roberto Mastelaro,Valmor Roberto Mastelaro,10,6
Larissa dos Santos Born,Larissa dos Santos Born,7,6
Edgardo Alfonso Gómez Pineda,Edgardo Alfonso Gómez Pineda,12,6
Juan Andrés,Juan Andrés,11,6
Anderson Oliveira Lobo,Anderson Oliveira Lobo,2,6
Priscilla Vanessa Finotelli,Priscilla Vanessa Finotelli,3,6
Miguel San-Miguel,Miguel San-Miguel,1,6
Douglas Marcel Gonçalves Leite,Douglas Marcel Gonçalves Leite,4,6
Tiago de Sousa Araujo Cassiano,Tiago de Sousa Araujo Cassiano,7,6
Fernando Teixeira Bueno,Fernando Teixeira Bueno,7,6
Luan Pereira Camargo,Luan Pereira Camargo,10,6
Luiz Henrique Dall&#039;Antonia,Luiz Henrique Dall&#039;Antonia,10,6
Argemiro Soares da Silva Sobrinho,Argemiro Soares da Silva Sobrinho,4,6
Herman Sander Mansur,Herman Sander Mansur,12,6
Alexandre F. Fonseca,Alexandre F. Fonseca,10,6
Anderson Reis Albuquerque,Anderson Reis Albuquerque,18,6
Carlos José Leopoldo Constantino,Carlos José Leopoldo Constantino,7,6
Luiz Henrique Capparelli Mattoso,Luiz Henrique Capparelli Mattoso,7,5
Reginaldo Muccillo,Reginaldo Muccillo,3,5
Clarissa Almeida Olivati,Clarissa Almeida Olivati,7,5
